PERMNO,date,TICKER,HSICMG,PRC,VOL,BID,ASK,OPENPRC,sprtrn
12060,01/03/2000,GE,,150.00000,7356000,149.62500,149.75000,153.00000,-0.009549
12060,01/04/2000,GE,,144.18750,7373500,144.00000,145.00000,147.25000,-0.038345
12060,01/05/2000,GE,,143.43750,9097500,143.25000,143.31250,143.75000,0.001922
12060,01/06/2000,GE,,145.67188,6624399,145.00000,145.62500,143.12500,0.000956
12060,01/07/2000,GE,,151.31250,6714500,149.68750,151.31250,148.00000,0.027090
12060,01/10/2000,GE,,151.25000,5075500,150.87500,151.62500,152.68750,0.011190
12060,01/11/2000,GE,,151.62500,5040899,151.50000,151.87500,151.00000,-0.013063
12060,01/12/2000,GE,,152.00000,6115099,152.00000,152.62500,151.06250,-0.004386
12060,01/13/2000,GE,,153.75000,4984500,153.62500,154.00000,153.12500,0.012170
12060,01/14/2000,GE,,151.00000,6161899,150.62500,151.12500,153.37500,0.010671
12060,01/18/2000,GE,,148.00000,6098899,147.50000,148.00000,149.62500,-0.006832
12060,01/19/2000,GE,,148.71875,4949899,148.00000,148.50000,146.50000,0.000522
12060,01/20/2000,GE,,145.93750,10192500,145.75000,146.12500,149.06250,-0.007095
12060,01/21/2000,GE,,144.12500,8001799,142.12500,144.37500,147.93750,-0.002912
12060,01/24/2000,GE,,138.12500,9039599,137.87500,140.00000,145.31250,-0.027634
12060,01/25/2000,GE,,138.50000,8462699,138.00000,139.00000,138.06250,0.006065
12060,01/26/2000,GE,,141.43750,5285599,139.56250,141.87500,140.50000,-0.004213
12060,01/27/2000,GE,,141.75000,6414500,141.50000,141.87500,141.56250,-0.003938
12060,01/28/2000,GE,,134.00000,9949899,134.37500,135.18750,140.31250,-0.027457
12060,01/31/2000,GE,,133.62500,7194199,133.50000,133.50000,134.00000,0.025218
12060,02/01/2000,GE,,136.00000,9113000,136.00000,136.50000,134.25000,0.010628
12060,02/02/2000,GE,,134.06250,7273399,134.00000,134.25000,137.12500,-0.000114
12060,02/03/2000,GE,,139.25000,6744000,139.31250,139.50000,135.93750,0.011248
12060,02/04/2000,GE,,141.56250,6055699,,,141.00000,-0.000421
12060,02/07/2000,GE,,136.50000,6095000,133.00000,137.00000,141.68750,-0.000091
12060,02/08/2000,GE,,137.06250,6231699,136.50000,143.93750,136.56250,0.012273
12060,02/09/2000,GE,,134.06250,5338299,134.12500,134.62500,137.00000,-0.020822
12060,02/10/2000,GE,,135.43750,6389199,135.25000,135.62500,134.56250,0.003634
12060,02/11/2000,GE,,133.75000,6850799,133.75000,137.00000,135.06250,-0.020969
12060,02/14/2000,GE,,134.37500,4847299,133.37500,135.37500,133.75000,0.002033
12060,02/15/2000,GE,,137.50000,6274500,137.00000,138.00000,134.00000,0.008713
12060,02/16/2000,GE,,135.65625,4843599,134.50000,135.43750,136.62500,-0.010256
12060,02/17/2000,GE,,130.87500,9639500,,,134.87500,0.000425
12060,02/18/2000,GE,,125.25000,11775500,125.25000,125.50000,131.00000,-0.030376
12060,02/22/2000,GE,,129.62500,9077000,,,126.25000,0.004517
12060,02/23/2000,GE,,130.50000,7318699,130.31250,130.62500,130.00000,0.006301
12060,02/24/2000,GE,,131.00000,9206199,130.81250,131.06250,130.31250,-0.005336
12060,02/25/2000,GE,,126.12500,8889399,121.56250,128.00000,129.50000,-0.014829
12060,02/28/2000,GE,,128.93750,9016100,128.25000,130.00000,126.00000,0.011017
12060,02/29/2000,GE,,132.37500,7525000,,,130.62500,0.013627
12060,03/01/2000,GE,35,131.37500,8896299,131.25000,131.50000,133.50000,0.009346
12060,03/02/2000,GE,35,135.25000,6613500,135.12500,135.37500,131.37500,0.001863
12060,03/03/2000,GE,35,139.37500,7921299,139.37500,139.75000,137.25000,0.019837
12060,03/06/2000,GE,35,137.43750,6166299,137.31250,137.50000,139.50000,-0.012695
12060,03/07/2000,GE,35,129.93750,9876500,132.00000,135.00000,137.37500,-0.025631
12060,03/08/2000,GE,35,130.31250,7971399,,,130.25000,0.008173
12060,03/09/2000,GE,35,131.75000,6301599,131.37500,131.93750,130.31250,0.025602
12060,03/10/2000,GE,35,131.68750,6899899,131.56250,131.81250,130.87500,-0.004723
12060,03/13/2000,GE,35,129.43750,6425299,128.50000,131.00000,129.00000,-0.008207
12060,03/14/2000,GE,35,127.00000,6356799,127.00000,127.50000,129.62500,-0.017685
12060,03/15/2000,GE,35,133.56250,8637000,126.81250,134.00000,126.87500,0.024280
12060,03/16/2000,GE,35,139.00000,10001599,138.68750,139.00000,133.68750,0.047639
12060,03/17/2000,GE,35,139.87500,10621000,,,138.12500,0.004114
12060,03/20/2000,GE,35,140.93750,5198799,140.93750,141.06250,139.87500,-0.005353
12060,03/21/2000,GE,35,150.00000,12380799,143.75000,152.50000,138.75000,0.025566
12060,03/22/2000,GE,35,150.87500,7237199,,,150.50000,0.004532
12060,03/23/2000,GE,35,160.00000,10346299,,,151.50000,0.017799
12060,03/24/2000,GE,35,159.06250,7692000,151.00000,160.00000,157.62500,0.000072
12060,03/27/2000,GE,35,157.93750,5447399,149.93750,160.00000,157.75000,-0.002357
12060,03/28/2000,GE,35,156.00000,7270699,,,156.75000,-0.010585
12060,03/29/2000,GE,35,163.50000,13043399,,,157.37500,0.000524
12060,03/30/2000,GE,35,158.75000,8322300,,,162.00000,-0.013656
12060,03/31/2000,GE,35,155.62500,7810398,,,159.25000,0.007164
12060,04/03/2000,GE,35,158.75000,6393899,158.75000,159.25000,155.25000,0.004931
12060,04/04/2000,GE,35,153.50000,11440599,,,158.56250,-0.007464
12060,04/05/2000,GE,35,153.31250,6928399,153.06250,153.31250,152.12500,-0.004924
12060,04/06/2000,GE,35,156.87500,4586000,156.25000,156.75000,154.18750,0.009392
12060,04/07/2000,GE,35,158.81250,4442199,,,157.62500,0.009998
12060,04/10/2000,GE,35,159.43750,4744799,159.25000,159.56250,159.37500,-0.007841
12060,04/11/2000,GE,35,161.62500,7000799,161.00000,162.25000,158.31250,-0.002572
12060,04/12/2000,GE,35,156.75000,6481799,156.37500,156.87500,162.62500,-0.022271
12060,04/13/2000,GE,35,150.25000,8498599,150.25000,150.50000,157.37500,-0.018171
12060,04/14/2000,GE,35,145.75000,10549500,,,148.00000,-0.058278
12060,04/17/2000,GE,35,152.00000,10650599,151.75000,152.25000,144.37500,0.033084
12060,04/18/2000,GE,35,156.50000,8479299,156.25000,156.75000,152.81250,0.028663
12060,04/19/2000,GE,35,155.50000,4716599,155.75000,156.00000,156.06250,-0.009808
12060,04/20/2000,GE,35,158.00000,5685099,158.25000,158.75000,156.06250,0.004953
12060,04/24/2000,GE,35,162.06250,8004899,161.81250,162.31250,157.00000,-0.003262
12060,04/25/2000,GE,35,166.00000,7618199,165.75000,166.00000,162.25000,0.033276
12060,04/26/2000,GE,35,163.25000,7111099,163.12500,163.43750,166.12500,-0.011134
